Designator,Footprint,Quantity,Value,LCSC Part #
ACT1,805,1,ACT,C2296
"C1, C10, C2, C3, C4, C5, C6",603,7,100n,
"C7, C8",603,2,20p,
C9,603,1,10u,
FWUPD1,SW-SMD_MSS12C02LS-HB2.0-1,1,MSS12C02LS-BB2.0,C3008585
J1,DSUB-9_Female_EdgeMount_P2.77mm,1,DE9_Receptacle,C138804
LDS1,805,1,STAT1,C2296
LDS2,805,1,STAT2,C2296
MAP1,SW-SMD_4P-L2.6-W1.6-P0.75-LS3.0,1,~,C913784
MODE1,SW_DIP_SPSTx03_Slide_KingTek_DSHP03TJ_W5.25mm_P1.27mm_JPin,1,SW_DIP_x03,C3293143
Q1,SOT-23,1,BSS138, C5279927
"R1, R3, R4, R5",603,4,10k,
R2,603,1,100k,
"RN1, RN2, RN3",R_Array_Convex_4x0603,3,100k,C173315
U1,SOT-89-3,1,AMS1117-3.3,  C5120796
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F105RBTx,C8349
USB1,USB-A-SMD_10.0-QTJ6.3,1,10.0 QTJ6.3,C404966
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,8Mhz,C2682774
